"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","CAPACITY","COMMENT","DATASHEET","ESR","FREQUENCY","LOAD CAPATANCE","MANUFACTURER","MANUFACTURERPARTNO","MFR","MFR PART NUMBER","NOTE","STABILITY","SUPPLIER 1","SUPPLIER 1 PART NUMBER","SUPPLIER 2","SUPPLIER 2 PART NUMBER","SUPPLIER PART NUMBER 1","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"ABS05","ABS05","","","ABS05","","","","","","","","","","","Digi-Key","","","","535-11899-1-ND","","*","Y?","32768 Hz SMD Low profile crystal"
"ABS06-107-32.768KHZ-T","","","","32.768 kHz crystal","","","","","","","Abracon","ABS06-107-32.768KHZ-T","","","Digikey","535-12373-1-ND","","","","32.768kHz","*","X?","32.768 0805 SMD crystal"
"ADG849","SC70-6","","","ADG849","","","","","","","","","","","Digi-Key","","","","ADG849YKSZ500RLCT-ND","","*","U?","0.5 ? SPDT/2:1 Mux in SC70"
"ADP162","TSOT23-5","","","ADP162","","","","","","","","","","","Digi-Key","","","","ADP162AUJZ-3.3-R7CT-ND","","*","U?","IC REG LDO 3.3V 0.15A TSOT23-5"
"ADXL362","LGA_CC-16-4","","","ADXL362","","","","","","","","","","","Digi-Key","","","","ADXL362BCCZ-RL7CT-ND","","*","U?","Micropower, 3-Axis, ±2 g/±4 g/±8 g  Digital Output MEMS Accelerometer"
"AS1976","SOT23-5","","","AS1976","","","","","","","","","","","Digi-Key","","","","AS1976-TCT-ND","","*","U?","IC COMPARATOR PUSH/PULL SOT23-5"
"BD2425N50200AHF","BD2425N50200AHF","","","BD2425N50200AHF","","","","","","","","","","","Digi-Key","","","","1173-1063-1-ND","","*","B?","Ultra Low Profile 0404 Balun   50? to 200? Balanced"
"BM02B-GHS-TBT","JST GH series","","","BM02B-GHS-TBT","","","","","","","","","","","Digi-Key","","","","455-1578-1-ND","","*","J?","GH housing, 1.25 mm pitch, 2 positions"
"CC2420","QFN50P700X700X100_HS-49N","","","CC2420","","","","","","","","","","","Digi-Key","","","","296-19585-1-ND","","*","U?","2.4 GHz IEEE 802.15.4 / ZigBee-ready RF Transceiver"
"DMG1013UW","SC70-3","","","DMG1013UW","","","","","","","","","","","Digi-Key","","","","DMG1013UW-7DICT-ND","","*","Q?","P-CHANNEL ENHANCEMENT MODE MOSFET"
"DS2411","SOT23-3N","","","DS2411","","","","","","","","","","","Digi-Key","","","","DS2411R+CT-ND","","*","U?","Silicon Serial Number with VCC Input"
"Ground Antenna","Chip Antenna","","","Ground Antenna","","","","","","","","","","","RichardsonRFPD","","","","FR05-S1-N-0102B","","*","ANT?","2.4GHz Surface Mount Device (SMD) On Ground Antenna, 50 Ohms"
"IC_FT232RQ","QFN-32","","","FT232RQ","","","","","*","*","","","*","","Digi-Key","","","","768-1008-1-ND","","*","U?","FT232R USB UART"
"ISL60002","SOT23-3N","","","ISL60002","","","","","","","","","","","Digi-Key","","","","ISL60002DIH310Z-TKCT-ND","","*","U?","IC VREF SERIES PREC SOT-23-3"
"MAX1555","SOT23-5","","","MAX1555","","","","","","","","","","","Digi-Key","","","","MAX1555EZK+TTR-ND","","*","U?","3 Dual-Input USB/AC Adapter 1-Cell Li+  Battery Chargers"
"MIC861","SC70-5","","","MIC861","","","","","","","","","","","Digi-Key","","","","576-2932-1-ND","","*","U?","IC OPAMP 400KHZ 2.7V ULT LP SC70"
"MIC863","TSOP65P280X145-8N","","","MIC863","","","","","","","","","","","Digi-Key","","","","576-2934-1-ND","","*","U?","Dual Ultra Low Power Op Amp in SOT23-8"
"MSP430F1611","QFN50P900X900X90_HS-65N","","","MSP430F1611","","","","","","","","","","","Digi-Key","","","","296-18102-1-ND","","*","U?","MIXED SIGNAL MICROCONTROLLER"
"Micro USB","Micro USB-B","","","micro USB-B","","","","","","","","","","","Digi-Key","","","","609-4616-6-ND","","*","J?","CONN USB MICRO B RECPT SMT R/A"
"NLX2G14","ULLGA6","","","NLX2G14","","","","","","","","","","","Digi-Key","","","","NLX2G14AMX1TCGOSCT-ND","","*","U?","IC INVERTER DUAL SCHMTRIG ULLGA6"
"NX3L4684","QFN50P155X200X13-10N","","","NX3L4684","","","","","","","","","","","Digi-Key","","","","568-5564-1-ND","","*","U?","IC ANALOG SWITCH SPDT 10XQFN"
"RV-4162-C7","RV4162","","","RV-4162-C7","","","","","","","","","","","Newark","","","","09X0517","","*","Y?","Real Time Clock Module with I2C Bus"
"SHT25","DFN6","","","Humidity and Temperature Sensor IC","","","","","","","","","","","Newark","","","","20T1173","","*","U?","SHT25"
"SM02B-SRSS-TB","JST SH series","","","SM02B-SRSS-TB","","","","","","","","","","","Digi-Key","","","","455-1802-1-ND","","*","J?","CONN HEADER SH 2POS SIDE 1MM TIN"
"SN74AUP1G08","SC70-5","","","SN74AUP1G08","","","","","","","","","","","Digi-Key","","","","296-19075-1-ND","","*","U?","IC SNGL 2IN POS-AND GATE SC70-5"
"SST25VF032B","WSON","","","SST25VF032B","","","","","","","","","","","Digi-Key","","","","SST25VF032B-80-4I-QAE-ND","","*","U?","32 Mbit SPI Serial Flash"
"SST25VF064C","WSON","","64 MBit","SST25VF064C","","","","","","","","","","","Digi-Key","","","","SST25VF064C-80-4I-Q2AE-CT-ND","","*","U?","64 Mbit SPI Serial Dual I/O Flash"
"Si7021","DFN6-Si7021","","","Si7021","","","","","","","","","","","Digikey","","","","336-2542-1-ND","","*","U?","Temperature and Humidity Sensor"
"TS3A24159","TSSOP50P490X110-10N","","","TS3A24159","","","","","","","","","","","Digi-Key","","","","296-21913-1-ND","","*","U?","DUAL-CHANNEL 2:1 MULTIPLEXER/DEMULTIPLEXER"
"TS881","SC70-5","","","TS881","","","","","","","","","","","Digi-Key","","","","497-13217-1-ND","","*","U?","Rail-to-rail 1.1 V nanopower comparator"
"TS882","SO8","","","TS882","","","","","","","","","","","Digikey","497-14073-1-ND","Digikey","497-13800-1-ND","","","*","U?","Ultra Low Power Dual Comparator"
"TSX-3225","TSX-3225","","","16MHz Crystal","","","","","","","Epson","TSX-3225 16.0000MF09Z-AC3","","","Digikey","SER3628CT-ND","","","","16MHz","*","Y?","3.2x2.5mm 16MHz SMD crystal"
"TXC 7B","TXC 7B","","","TXC 7B","","40","16 MHz","18 pF","","","","","","30 ppm","Digi-Key","","","","887-1104-1-ND","","*","Y?","5 x 3.2 mm SMD SEAM CRYSTAL 7B SERIES"
"TestPoint","TestPoint","TestPoint","","5004","http://mail.keyelco.com/ENG._DEPT/PDF%20CAT%20NO%20Drawings/5004.pdf","","","","","","","","","","Digi-Key","","","","5004K-ND","","*","J?","TEST POINT PC MINI .040"D YELLOW"
"Tranducer","Transducer recepticle","","","400EP250","","","","","","","","","","","Digi-Key","","","","ED90088-ND","","*","UT?","Air Ultrasounic Ceramic Transducers"
"ZXM61P03","SOT23-3N","","","ZXM61P03","","","","","","","","","","","Digi-Key","","","","ZXM61P03FCT-ND","","*","Q?","30V P-CHANNEL ENHANCEMENT MODE MOSFET"
"cc2538","QFN50P800X800X100_HS-57N","","","cc2538","","","","","","","","","","","","","","","","","*","U?","cc2538 MCU/802.15.4 radio"
"cc2538_Balun","Chip Balun","","","BALUN","","","","","","","","","","","Digikey","","","","712-1536-1-ND","","*","U?","Johanson CC253X Balun"
"nrf8001","QFN50P500X500X90_HS-33N","","","nrf8001","","","","","","","","","","","Digikey","1490-1026-ND","","","","","*","U?","nrf8001 Bluetooth SPI module"
"nrf8001_balun","2450BM14A0002","","","2450BM14A0002","","","","","","","Johanson","2450BM14A0002","","","Digikey","712-1574-1-ND","","","","","*","B?","nrf8001 chip balun"
